SMILES,IC50_nM,pIC50
CCCC(=O)Nc1n[nH]c2c(F)c(Cl)c(-c3ccccc3)cc12,250.0,6.6020599913279625
CCCC(=O)Nc1n[nH]c2cc(Cl)c(-c3ccccc3)cc12,400.0,6.3979400086720375
COc1cc(OC)c(C2C=C(c3cc(OC)ccc3OC)NC(=S)N2)c(OC)c1,2900.0,5.5376020021010435
COc1ccc(C2C=C(c3cc(OC)c(OC)c(OC)c3)NC(=S)N2)cc1O,4400.0,5.356547323513812
Nc1nc(Nc2cccnc2)sc1C(=O)c1ccccc1F,5500.0,5.259637310505756
CC1(C)COCCN1c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,0.4,9.397940008672037
COc1cc(/C=c2\sc3nc(-c4cccc(Cl)c4)cn3c2=O)cc(OC)c1O,1.0,9.0
CCCC[N+]1=C(/C=C/c2ccc(N(CC)CC)cc2)C(C)(C)c2ccccc21.[I-],1.41,8.85078088734462
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnc(NC(=O)[C@H]2C[C@H](Cl)C2)c1,1.7,8.769551078621726
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnc(NC(=O)[C@H]2C[C@@H](Cl)C2)c1,1.9,8.721246399047171
C[C@H]1COCCN1c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,2.0,8.698970004336019
CN(C)c1ccc(/C=C/C=C/c2cc(/C=C/C=C/c3ccc(N(C)C)cc3)ncn2)cc1,2.0,8.698970004336019
C(=C/c1cc(/C=C/c2ccc(N3CCCC3)cc2)ncn1)\c1ccc(N2CCCC2)cc1,2.0,8.698970004336019
COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(Br)c1O,2.0,8.698970004336019
COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(Cl)c1O,2.0,8.698970004336019
COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(OC)c1O,2.0,8.698970004336019
CC(C)(O)c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,2.8,8.55284196865778
COc1cc(/C=c2\sc3nc(-c4cccc(C(F)(F)F)c4)cn3c2=O)cc(Cl)c1O,3.0,8.522878745280337
Fc1cc(-c2ccc3c(c2)[nH]c2ccncc23)ccn1,3.1,8.508638306165727
Fc1ncccc1-c1ccc2c(c1)[nH]c1ccncc12,3.5,8.455931955649724
CN(C)c1ccc(/C=C/c2cc(/C=C/c3ccc(N(C)C)cc3)ncn2)cc1,4.0,8.397940008672037
Fc1cc(-c2ccc3c(n2)[nH]c2ccncc23)ccn1,4.9,8.309803919971486
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnc(NC(=O)C2CC2)c1,5.0,8.301029995663981
COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(O)c1O,5.0,8.301029995663981
COc1cc(/C=c2\sc3nc(-c4ccncc4)cn3c2=O)cc(OC)c1O,5.0,8.301029995663981
C[N+]1=C(/C=C/c2ccc(N3CCCC3)cc2)C(C)(C)c2ccccc21.[I-],5.1,8.292429823902063
C(=C/c1cnc(/C=C/c2ccc(N3CCOCC3)cc2)cn1)\c1ccc(N2CCOCC2)cc1,6.0,8.221848749616356
COc1cc(/C=c2\sc3nc(-c4ccncc4C)cn3c2=O)cc(OC)c1O,8.0,8.096910013008056
CC1CN(c2ccncc2NC(=O)c2ccnn3cc(-c4ccccc4)nc23)CCO1,9.2,8.036212172654444
C[C@H]1CN(c2ccncc2NC(=O)c2ccnn3cc(-c4ccccc4)nc23)CCO1,9.2,8.036212172654444
C[C@@H]1COCCN1c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,12.0,7.920818753952375
COc1ccc(/C=C/c2cnc(/C=C/c3ccc(OC)cc3)cn2)cc1,13.0,7.886056647693163
COc1cc(/C=c2\sc3nc(-c4cccc(OC(F)(F)F)c4)cn3c2=O)cc(F)c1O,13.0,7.886056647693163
O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)[C@H]2C[C@H](Cl)C2)c1,15.0,7.823908740944319
Fc1ncccc1-c1ccc2c(n1)[nH]c1ccncc12,15.5,7.809668301829708
C(=C/c1cc(/C=C/c2ccc(N3CCCCC3)cc2)ncn1)\c1ccc(N2CCCCC2)cc1,17.0,7.769551078621726
Fc1cc(-c2nc3[nH]c4ccncc4c3s2)ccn1,18.0,7.7447274948966935
C[C@H]1CN(c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)CCO1,18.0,7.7447274948966935
CC(C)C(=O)Nc1cc(C(=O)Nc2cnccc2OCCC(C)(C)O)ccn1,19.0,7.721246399047171
O=C(Nc1cnccc1N1CCCCC1)c1ccnc(NC(=O)C2CC2)c1,23.0,7.638272163982407
O=C(Nc1cnccc1N1CCOCC1)c1ccnc(NC(=O)C2CC2)c1,23.0,7.638272163982407
Cc1cncc(NC(=O)c2ccnc(NC(=O)C3CC3)c2)c1,25.0,7.6020599913279625
CC1(C)CN(c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)CCO1,25.0,7.6020599913279625
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnn2cc(-c3ccccc3)nc12,30.0,7.522878745280337
O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)C2CCC(F)(F)C2)c1,30.0,7.522878745280337
CCOc1ccncc1NC(=O)c1ccnc(NC(=O)C2CCCC2)c1,31.0,7.508638306165727
CC(O)c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,35.0,7.455931955649724
O=C(Nc1cnccc1N1CCOCC1)c1ccnn2cc(-c3ccccc3)nc12,36.0,7.443697499232712
Fc1cc(-c2cc3[nH]c4cnccc4c3cn2)ccn1,36.0,7.443697499232712
O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)[C@H]2C[C@H](F)C2)c1,37.0,7.431798275933005
CC(C)C(=O)Nc1cc(C(=O)Nc2cnccc2OCC(F)F)ccn1,41.0,7.3872161432802645
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnn2c(NCC3CC3)cnc12,41.0,7.3872161432802645
CN1CCN(c2ccc(/C=C/c3cnc(/C=C/c4ccc(N5CCN(C)CC5)cc4)cn3)cc2)CC1,42.0,7.376750709602099
O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)[C@H]2C[C@@H](Cl)C2)c1,43.0,7.366531544420414
O=C(Nc1cnccc1C(O)C(F)(F)F)c1ccnc(NC(=O)C2CC2)c1,48.0,7.318758762624412
CC(C)C(=O)Nc1cc(C(=O)Nc2cnccc2OCC(C)(F)F)ccn1,50.0,7.301029995663981
COc1ccccc1-c1cn2nccc(C(=O)Nc3cnccc3N3CCOC(C)C3)c2n1,58.0,7.236572006437063
CC1CN(c2ccncc2NC(=O)c2ccnn3cc(C4CC4)nc23)CCO1,60.0,7.221848749616356
C[N+](C)=c1ccc2nc3ccc(N)cc3sc-2c1.[Cl-],69.0,7.161150909262744
Nc1ccc2nc3ccc(N)cc3[s+]c2c1.[Cl-],69.0,7.161150909262744
Cc1cc2nc3ccc(N(C)C)cc3[s+]c2cc1N.[Cl-],69.0,7.161150909262744
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)C2CCCC2)c1,69.0,7.161150909262744
Fc1ncccc1-c1ccc2c(n1)[nH]c1cnccc12,70.0,7.154901959985743
CC(C)C(=O)Nc1cc(C(=O)Nc2cnccc2OCC(F)(F)F)ccn1,70.0,7.154901959985743
CCOc1ccncc1NC(=O)c1ccnc(NC(=O)C2CCC2)c1,72.0,7.142667503568732
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)[C@@H]2CC[C@@H](O)C2)c1,73.0,7.136677139879544
CC(=O)c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,76.0,7.119186407719209
O=C(Nc1cncc(-c2cccc(F)c2F)c1)c1ccnc(NC(=O)C2CC2)c1,79.0,7.102372908709558
COc1cc(/C=c2\sc3nc(-c4ccncc4C)cn3c2=O)ccc1O,79.0,7.102372908709558
C1=C2\Sc3ccccc3N2CCCCC[n+]2c(sc3ccccc32)/C=C/C=C2\Sc3ccccc3N2CCCCC[n+]2c(sc3ccccc32)/C=C/1,80.0,7.096910013008056
C=C(C)c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,80.0,7.096910013008056
Fc1cc(-c2cc3[nH]c4ccncc4c3cn2)ccn1,82.0,7.086186147616283
CC(C)Oc1ccncc1NC(=O)c1ccnn2cc(-c3ccccc3)nc12,83.0,7.080921907623926
CC(C)C(=O)Nc1cc(C(=O)Nc2cncc(-c3ccccc3F)c2)ccn1,85.0,7.070581074285707
C[C@@H]1CN(c2ccncc2NC(=O)c2ccnn3cc(-c4ccccc4)nc23)CCO1,86.0,7.0655015487564325
O=C(Nc1cncc(-c2ccccc2Cl)c1)c1ccnc(NC(=O)C2CCC(F)(F)C2)c1,94.0,7.026872146400302
CC(C)C(=O)Nc1cc(C(=O)Nc2cncc(-c3cc(F)ccc3F)c2)ccn1,94.0,7.026872146400302
CC(C)C(=O)Nc1cc(C(=O)Nc2cnccc2OCCN2CCOCC2)ccn1,99.0,7.00436480540245
O=C(Nc1cncc(-c2cc(F)ccc2F)c1)c1ccnc(NC(=O)C2CC2)c1,100.0,7.0
O=C(Nc1cnccc1C(=O)C(F)(F)F)c1ccnc(NC(=O)C2CC2)c1,110.0,6.958607314841775
Fc1cc(-c2cnc3c(c2)[nH]c2ccncc23)ccn1,116.0,6.935542010773082
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)C2CC(F)(F)C2)c1,120.0,6.920818753952375
O=C(Nc1cnccc1N1CCC(F)(F)CC1)c1ccnn2cc(C3CC3)nc12,120.0,6.920818753952375
CC(C)(C)C(=O)Nc1cc(C(=O)Nc2cnccc2N2CCC(F)(F)CC2)ccn1,120.0,6.920818753952375
Cc1ccc(-c2cncc(NC(=O)c3ccnc(NC(=O)C4CC4)c3)c2)cn1,120.0,6.920818753952375
CC1CN(c2ccncc2NC(=O)c2ccnn3cc(-c4ccc(C(F)(F)F)cc4)nc23)CCO1,130.0,6.886056647693163
O=C(Nc1cncc(-c2cccc(F)c2F)c1)c1ccnc(NC(=O)C2CCC(F)(F)C2)c1,130.0,6.886056647693163
O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)[C@H]2C[C@@H](F)C2)c1,150.0,6.823908740944319
O=C(Nc1cncc(-c2cncc(Cl)c2)c1)c1ccnc(NC(=O)C2CC2)c1,150.0,6.823908740944319
O=C(Nc1cncc(-c2ccccc2F)c1)c1ccnc(NC(=O)C2CCC(F)(F)C2)c1,160.0,6.795880017344075
O=C(Nc1cncc(-c2ccccc2F)c1)c1ccnc(NC(=O)C2CC2)c1,160.0,6.795880017344075
CN(C)c1ccc2c(c1)SC1=CC(N(C)C)C=CC1N2.CS(=O)(=O)O.CS(=O)(=O)O,160.0,6.795880017344075
CC1(C)CC(C(=O)Nc2cc(C(=O)Nc3cnccc3-c3ccccc3)ccn2)C1,170.0,6.769551078621726
CC(C)C(=O)Nc1cc(C(=O)Nc2cnccc2-c2ccccc2)ccn1,180.0,6.7447274948966935
C[C@@H]1CN(c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)C[C@H](C)O1,190.0,6.721246399047171
C[C@@H]1CN(c2ccncc2NC(=O)c2ccnc(NC(=O)C3CC3)c2)CCO1,220.0,6.657577319177793
COc1cc(O)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,230.0,6.638272163982407
COc1cc(/C=C/c2ccc(O)cc2)ccc1/C=C/c1ccc(O)cc1,246.0,6.609064892896621
CN(C)c1ccc(/N=N/c2nc3ccc(OCCOCCOCCF)cc3s2)cc1,256.0,6.59176003468815
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)C2CCC2)c1,260.0,6.585026652029182
Fc1cc(-c2ccc3c(n2)[nH]c2cccnc23)ccn1,260.0,6.585026652029182
CCC(/C=C1\Sc2ccc(OC)cc2N1CCO)=C\c1sc2ccc(OC)cc2[n+]1CCO,294.0,6.531652669587842
O=C(Nc1cncc(-c2ccccc2)c1)c1ccnc(NC(=O)C2CC2)c1,300.0,6.522878745280337
COc1ccc(-c2cc3c(s2)c2sc(-c4ccc(/C=C(\C#N)C(N)=O)s4)cc2n3C(C)(C)C)cc1,300.0,6.522878745280337
Fc1cc(-c2cnc3c(c2)[nH]c2ncccc23)ccn1,310.0,6.508638306165727
COc1cc(O)cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c1,320.0,6.494850021680094
O=C(Nc1cncc(-c2ccncc2)c1)c1ccnc(NC(=O)C2CC2)c1,320.0,6.494850021680094
O=C(Nc1cncc(C2CCC2)c1)c1ccnc(NC(=O)C2CC2)c1,330.0,6.481486060122113
COc1cc(OCc2ccccn2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,330.0,6.481486060122113
O=C(Nc1cncc(-c2ccccc2)c1)c1ccnc(NC(=O)C2CCCC2)c1,330.0,6.481486060122113
Fc1ncccc1-c1cnc2c(c1)[nH]c1ccncc12,344.0,6.46344155742847
CC(C)C(=O)Nc1cc(C(=O)Nc2cnccc2-c2ccc(Cl)cc2)ccn1,360.0,6.443697499232712
O=C(Nc1cnccc1C1CCC1)c1ccnc(NC(=O)C2CC2)c1,380.0,6.42021640338319
COc1cc(OCC2CCCO2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,420.0,6.376750709602099
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3ccccc3c2)ccc1O,420.0,6.376750709602099
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3cc[nH]c3c2)ccc1O,440.0,6.356547323513812
CC(C)c1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,470.0,6.327902142064283
O=C(Nc1cncc(-c2ccccc2)c1)c1ccnc(NC(=O)C2CC(F)(F)C2)c1,490.0,6.309803919971486
Cn1cccc1/C=C/c1cc(/C=C/c2ccc(OCc3ccccn3)cc2F)n[nH]1,510.0,6.292429823902063
COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)cc1O,520.0,6.2839966563652006
Cn1cccc1/C=C/c1cc(/C=C/c2ccc(OCc3ccccn3)cc2)n[nH]1,550.0,6.259637310505756
Fc1ncccc1-c1ccc2c(n1)[nH]c1cccnc12,559.0,6.252588192113577
O=C(Nc1cncc(-c2ccc(F)cc2)c1)c1ccnc(NC(=O)C2CC2)c1,570.0,6.2441251443275085
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2OC)ccc1O,580.0,6.236572006437063
O=C(Nc1cnccc1-c1ccccc1)c1ccnc(NC(=O)C2CCOCC2)c1,580.0,6.236572006437063
COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccc(C)n2C)[nH]n1,590.0,6.229147988357855
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cc(O)ccc2OC)ccc1O,600.0,6.221848749616356
Cn1ccc2ccc(/C=C/c3cc(/C=C/c4ccc(OCc5ccccn5)cc4F)n[nH]3)cc21,600.0,6.221848749616356
COc1cc(OCc2ccccc2)ccc1/C=C/C(=O)CC(=O)/C=C/c1ccc2cc[nH]c2c1,610.0,6.214670164989233
Cc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2cccn2C)[nH]n1,640.0,6.1938200260161125
Cn1ccc2ccc(/C=C/c3cc(/C=C/c4ccc(OCc5ccccn5)cc4)n[nH]3)cc21,650.0,6.187086643357144
COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccc3cc[nH]c3c2)[nH]n1,660.0,6.180456064458132
COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2cccn2C)[nH]n1,660.0,6.180456064458132
O=C(Nc1cccnc1)c1ccnn2cc(-c3ccccc3)nc12,660.0,6.180456064458132
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccc(OC)c2O)ccc1O,690.0,6.161150909262744
COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc3cc[nH]c3c2)c(OC)c1,700.0,6.154901959985743
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccc(O)c2OC)ccc1O,710.0,6.1487416512809245
Fc1ncccc1-c1cc2[nH]c3ccncc3c2cn1,732.0,6.135488918941608
O=C(Nc1cnccc1C1CCCC1)c1ccnc(NC(=O)C2CC2)c1,800.0,6.096910013008056
COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2ccnn2C)[nH]n1,830.0,6.080921907623926
C(=C/c1cc(/C=C/c2ccc3cc[nH]c3c2)[nH]n1)\c1cccc(OCCN2CCOCC2)c1,840.0,6.075720713938118
COc1cc(OCc2ccccn2)ccc1/C=C/c1cc(/C=C/c2cccc(C)n2)[nH]n1,840.0,6.075720713938118
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2c(O)cccc2OC)ccc1O,910.0,6.040958607678906
O=C(Nc1cnccc1-c1ccccc1)c1ccnn2cc(-c3ccccc3)nc12,910.0,6.040958607678906
