SMILES,IC50_nM,pIC50
COc1ccc(O)c(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c1,920.0,6.036212172654444
O=C(Nc1cnccc1C(F)(F)F)c1ccnc(NC(=O)C2CC2)c1,960.0,6.017728766960431
Cc1ccc(C(=O)N/N=C/c2ccc(O)c(O)c2O)cc1,970.0,6.013228265733755
O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,1200.0,5.920818753952375
COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(-c3ccc([N+](=O)[O-])cc3)n2)ccc1O,1200.0,5.920818753952375
O=C(Nc1cnccc1C1CCCCC1)c1ccnc(NC(=O)C2CC2)c1,1200.0,5.920818753952375
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc3c(c2)OCO3)ccc1O,1200.0,5.920818753952375
Cc1ccncc1NC(=O)c1ccnc(NC(=O)C2CC2)c1,1200.0,5.920818753952375
CN(C)c1ccc(/C=C/c2cc(-c3ccccc3F)c(/C=C/c3ccc(N(C)C)cc3)nn2)cc1,1251.0,5.90274269030658
COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c(O)c1,1400.0,5.853871964321762
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccccc2)ccc1O,1400.0,5.853871964321762
CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],1400.0,5.853871964321762
COc1ccc(-c2cc(/C=C/c3ccc(N(C)C)cc3)nnc2/C=C/c2ccc(N(C)C)cc2)cc1,1591.0,5.798329820353419
O=Cc1ccc(-c2ccc(-c3ccc4[nH]ccc4c3)s2)s1,1600.0,5.795880017344075
O=C(Nc1cncc(-c2ccccc2)c1)c1ccnc(NC(=O)C2CCC2)c1,1600.0,5.795880017344075
CC(=C(C#N)C#N)c1ccc2cc(N(C)CCF)ccc2c1,1635.0,5.786482243003695
N#C/C(=C\c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O,1700.0,5.769551078621726
COc1ccc2sc3c(C)ccc(NCCC4CCN(C)CC4)c3c(=O)c2c1,1800.0,5.7447274948966935
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,1800.0,5.7447274948966935
O=C(Nc1cncc(N2CCOCC2)c1)c1ccnc(NC(=O)C2CC2)c1,1980.0,5.703334809738469
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccco2)ccc1O,2000.0,5.698970004336019
CC(C)(C)C(=O)Nc1cc(C(=O)Nc2cncc(-c3cccc(F)c3F)c2)ccn1,2100.0,5.6777807052660805
COc1ccc2[nH]c3c(c2c1)N=CN(CCCN(C)C1CCCCC1)C3,2100.0,5.6777807052660805
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,2200.0,5.657577319177793
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3000.0,5.522878745280337
COc1ccc2sc3c([N+](=O)[O-])ccc(NCCC[C@@H]4CCCN5CCCC[C@H]45)c3c(=O)c2c1,3000.0,5.522878745280337
CNc1ccc(-c2nc3ccc(O)cc3s2)cc1,3255.0,5.4874490070957895
O=C(Nc1cncc(Oc2ccccc2)c1)c1ccnc(NC(=O)C2CC2)c1,3260.0,5.486782399932061
C(=C/c1cc(-c2ccccc2)c(/C=C/c2ccc(N3CCOCC3)cc2)nn1)\c1ccc(N2CCOCC2)cc1,4707.0,5.327255801693401
CCN(CC)CCCNc1ccc([N+](=O)[O-])c2sc3ccc(OC)cc3c(=O)c12,4800.0,5.318758762624412
COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(-c3cccc([N+](=O)[O-])c3)n2)ccc1O,5000.0,5.301029995663981
CC(F)C(=O)Nc1cc(C(=O)Nc2cnccc2-c2ccccc2)ccn1,5100.0,5.292429823902063
Oc1ccc(Cc2cc(O)c(O)cc2O)cc1O,5200.0,5.2839966563652006
O=C(Nc1cncc(N2CCCCC2)c1)c1ccnc(NC(=O)C2CC2)c1,5420.0,5.266000713461613
COc1ccc2sc3c(C)ccc(NC[C@@H]4CCCN5CCCC[C@H]45)c3c(=O)c2c1,5500.0,5.259637310505756
COc1ccc2sc3c(C)ccc(NCCC[C@@H]4CCCN5CCCC[C@H]45)c3c(=O)c2c1,5900.0,5.229147988357856
COc1ccc2sc3c([N+](=O)[O-])ccc(NCC[C@@H]4CCCN5CCCC[C@H]45)c3c(=O)c2c1,6900.0,5.161150909262744
Cc1ccc(NCCC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3cc(O)ccc3sc12,7300.0,5.136677139879544
Oc1ccc(-c2nc3cc(O)c(O)cc3o2)cc1O,7340.0,5.134303940083929
CN1CCN(c2ccc(/C=C/c3cc(/C=C/c4ccc(N5CCN(C)CC5)cc4)ncn3)cc2)CC1,7469.0,5.126737540561273
Nc1ccc(NC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3ccccc3sc12,8600.0,5.0655015487564325
Cc1ccc(NCC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3cc(O)ccc3sc12,8900.0,5.050609993355087
O=C(/C=C/c1cc(O)c(O)cc1Br)c1ccc(O)c(O)c1,9020.0,5.044793462458058
Cc1ccc(NC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3cc(O)ccc3sc12,9100.0,5.040958607678906
COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(-c3cc(Cl)cc(Cl)c3)n2)ccc1O,10000.0,5.0
Oc1ccc(-c2ccc(-c3cc(O)c(O)c(O)c3)s2)cc1O,10080.0,4.996539467890494
Oc1ccc(-c2nsc(-c3ccc(O)c(O)c3)n2)cc1O,10240.0,4.989700043360188
CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12,10900.0,4.962573502059376
Oc1ccc(-c2cc(-c3ccc(O)c(O)c3)c(-c3ccc(O)c(O)c3)s2)cc1O,12540.0,4.901702463505302
COc1cc(/C=C/C(=O)Oc2cc(O)c3c(c2)O[C@H](c2ccc4c(c2)O[C@@H](c2ccc(O)c(OC)c2)[C@H](CO)O4)[C@@H](O)C3=O)ccc1O,12900.0,4.889410289700751
COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(C)n2)ccc1O,13000.0,4.886056647693163
COc1ccc2sc3c(C)ccc(NCC[C@@H]4CCCN5CCCC[C@H]45)c3c(=O)c2c1,14000.0,4.853871964321762
O=c1c2ccccc2sc2c([N+](=O)[O-])ccc(NC[C@@H]3CCCN4CCCC[C@H]34)c12,15000.0,4.823908740944319
CCN(CC)CCCNc1ccc(C)c2oc3ccccc3c(=O)c12,16000.0,4.795880017344075
COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(-c3ccc(C(C)C)cc3)n2)ccc1O,18000.0,4.7447274948966935
Cc1ccc(NCCCSC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3ccccc3sc12,20000.0,4.698970004336019
CCCN(CCN1CCN(c2ccc(-c3ccc(O)c(O)c3)cc2)CC1)[C@H]1CCc2nc(N)sc2C1,21000.0,4.6777807052660805
O=C(/C=C/c1ccc(O)c(O)c1)c1cc(O)c(O)cc1Br,21210.0,4.673459331483438
O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)c(O)c1,21440.0,4.668775218979268
Cc1ccc(NCCC[C@@H]2CCCN3CCCC[C@H]23)c2c(=O)c3ccccc3oc12,23000.0,4.638272163982407
O=[N+]([O-])c1cc(-c2ccc(O)c(O)c2)ccc1-c1ccc(O)c(O)c1,24700.0,4.607303046740334
CCCN(CCN1CCN(c2ccc(-c3ccc(O)c(O)c3)cc2)CC1)[C@H]1CCc2c(O)cccc2C1,25000.0,4.6020599913279625
COc1cc(/C=C/C(=O)Oc2cc(O)c3c(c2)O[C@H](c2ccc4c(c2)O[C@H](c2ccc(O)c(OC)c2)[C@@H](CO)O4)[C@@H](O)C3=O)ccc1O,27200.0,4.565431095965801
COc1ccc2nc(-c3cn(Cc4ccc(C#N)cc4)nn3)sc2c1,0.46,9.337242168318426
CN(C)c1ccc(/N=N/c2nc3ccc(I)cc3s2)cc1,0.48,9.318758762624412
COc1ccc2nc(C(=O)OCc3ccc(C(F)(F)F)cc3)sc2c1,2.4,8.619788758288394
Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,2.5,8.602059991327963
COc1ccc2nc(-c3cn(Cc4ccc(F)cc4)nn3)sc2c1,3.8,8.42021640338319
COc1ccc2nc(-c3cn(-c4ccc(N)nc4)nn3)sc2c1,6.3,8.200659450546418
CNc1ccc(-n2cc(-c3nc4ccc(O)cc4s3)nn2)cn1,8.1,8.09151498112135
CCNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,9.2,8.036212172654444
CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,10.5,7.978810700930062
COc1ccc2nc(C(=O)OCc3cccc(F)c3)sc2c1,13.2,7.87942606879415
COc1ccc2nc(-c3cn(CCOCCO)nn3)sc2c1,13.6,7.866461091629782
CN(C)c1ccc(/C=C2\Nc3ccc(I)cc3C2=O)cc1,17.0,7.769551078621726
CN(C)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cn1,21.4,7.669586226650809
O=C1Nc2ccccc2/C1=C/C=C/c1ccc([N+](=O)[O-])cc1,27.1,7.567030709125595
COc1ccc2nc(-c3cn(CCc4ccc([N+](=O)[O-])cc4)nn3)sc2c1,28.1,7.55129368009492
COc1ccc2nc(-c3cn(CCCO)nn3)sc2c1,28.5,7.54515513999149
CCN(CC)c1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,34.9,7.45717457304082
CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ncccc32)cc1,35.1,7.454692883534176
Nc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cc1,36.0,7.443697499232712
Nc1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1,38.3,7.416801226031377
CNc1ccc(-n2cc(-c3nc4ccc(OC)cc4s3)nn2)cn1,39.4,7.404503778174426
CNc1ccc(-c2ccc3cc(OCC(O)CF)ccc3n2)cn1,40.1,7.396855627379818
COc1ccc2nc(-c3cn(CCCCCCCO)nn3)sc2c1,45.5,7.341988603342887
CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ccc(O)cc32)cc1,48.0,7.318758762624412
CN(C)c1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1,53.7,7.270025714300444
Nc1ccc(-c2ccc3cc(OCCF)ccc3n2)cc1,59.3,7.226945306635737
COc1ccc2nc(-c3cn(CCO)nn3)sc2c1,59.4,7.2262135550188065
COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1,72.4,7.140261433802853
O=C1/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccc(OCCF)cc1,80.1,7.096367483915762
COc1ccc2nc(-c3cn(Cc4ccc(C(F)(F)F)cc4)nn3)sc2c1,84.8,7.071604147743286
CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1,90.0,7.045757490560675
CNc1ccc(/C=C2\Nc3ccc(I)cc3C2=O)cc1,112.0,6.950781977329818
O=C1/C(=C\C=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1,121.5,6.915423722065669
CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccc(N)cc3)c3ccccc32)cc1,131.1,6.8823973083099155
COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1OC,151.7,6.81901441921327
COc1ccc(/C=C/C=C2\C(=O)Nc3ccccc32)cc1,169.0,6.772113295386326
COc1ccc2nc(-c3cn(CCc4ccc(O)cc4)nn3)sc2c1,171.3,6.766242637034489
CN(C)c1ccc(/C=C/C=C2\C(=O)N(c3ccncc3)c3ccccc32)cc1,188.0,6.72584215073632
CN(C)c1ccc(/C=C2\C(=O)Nc3ncccc32)cc1,191.3,6.718285029972704
COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc(N(C)C)cc3)c3cccnc32)cc1,204.3,6.689731633367552
O=C1Nc2ccccc2/C1=C\C=C\c1ccc([N+](=O)[O-])cc1,208.7,6.680477550934546
CN(C)c1ccc(/C=C2\C(=O)Nc3ccc(O)cc32)cc1,212.4,6.6728454875905685
COc1ccc2nc(C(=O)Nc3ccc(CO)cc3)sc2c1,215.0,6.667561540084395
COc1cccc(CN2C(=O)/C(=C\C=C\c3ccc([N+](=O)[O-])cc3)c3ccccc32)c1,228.6,6.640923773940737
CN(C)c1ccc(/C=C/C=C2\C(=O)N(C)c3ccccc32)cc1,229.1,6.6399749108106025
COc1ccc(CN2C(=O)/C(=C\C=C\c3ccc(N(C)C)cc3)c3ccccc32)cc1,239.7,6.620331965966346
COc1ccc2nc(-c3cn(CCCCCCCCO)nn3)sc2c1,241.7,6.616723349592349
CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ncccc32)cc1,257.0,6.590066876668706
CN(C)c1ccc(/C=C2\C(=O)Nc3ccccc32)cc1,261.5,6.582528306796707
CCOC(=O)N1C(=O)/C(=C\C=C\c2ccc(N(C)C)cc2)c2ccccc21,263.2,6.579714115058082
COc1ccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1,318.1,6.497436330892636
COc1ccc2nc(-c3cn(Cc4ccccc4)nn3)sc2c1,341.4,6.466736483221285
COc1cccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)c1,354.6,6.450261268735101
O=C1Nc2ccccc2/C1=C/c1ccc([N+](=O)[O-])cc1,362.5,6.440691989092987
CN(C)c1ccc(/C=C2\C(=O)N(c3ccncc3)c3ccccc32)cc1,364.0,6.438898616350944
CN(C)c1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ccccc32)cc1,374.0,6.42712839779952
COc1ccc(CN2C(=O)/C(=C\c3ccc(N(C)C)cc3)c3ccccc32)cc1,431.7,6.364817951343732
O=C1/C(=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccc(OCCF)cc1,455.7,6.341320971417551
CN(C)c1ccc(/C=C/C=C2\C(=O)N(c3ccccc3)c3ccccc32)cc1,465.1,6.332453660488484
O=C1Nc2ccccc2/C1=C/C=C/c1ccccc1,522.1,6.282246306789284
O=C1Nc2ccccc2/C1=C\c1ccc([N+](=O)[O-])cc1,528.5,6.276955008356555
O=C1/C(=C/C=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1,590.5,6.228780098050466
CN(C)c1ccc(C=C2C(=O)Nc3ccc(I)cc32)cc1,599.0,6.2225731776106885
CN(C)c1ccc(/C=C2\C(=O)N(C)c3ccccc32)cc1,617.6,6.20929271267232
COc1ccc(CN2C(=O)/C(=C/C=C/c3ccc([N+](=O)[O-])cc3)c3ccccc32)cc1OC,630.3,6.200452692874385
O=C1/C(=C\C=C\c2ccccc2)c2ccccc2N1Cc1ccccc1,682.4,6.165960981840533
COc1ccc(/C=C/C=C2\C(=O)N(Cc3ccccc3)c3ccccc32)cc1,717.6,6.1441175699639645
COc1ccc2nc(C(=O)Nc3ccncc3)sc2c1,761.0,6.118615343229427
CN(C)c1ccc(/C=C2\C(=O)N(c3ccccc3)c3ccccc32)cc1,789.8,6.1024828705994745
CN(C)c1ccc(/C=C2\C(=O)N(Cc3ccccc3)c3ccccc32)cc1,797.8,6.0981059680261795
COc1ccc(CN2C(=O)/C(=C\c3ccc(N(C)C)cc3)c3cccnc32)cc1,853.5,6.068796474549248
CN(C)c1ccc(/C=C2\C(=O)N(Cc3ccccc3)c3ncccc32)cc1,858.8,6.066107964235789
CCOC(=O)N1C(=O)/C(=C\c2ccc(N(C)C)cc2)c2ccccc21,1116.2,5.952257981819359
O=C1/C(=C/c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1,1410.0,5.85078088734462
CNc1ccc(C=C2C(=O)Nc3ccc(I)cc32)cc1,1428.0,5.845271792559845
O=C1/C(=C\c2ccc([N+](=O)[O-])cc2)c2ccccc2N1Cc1ccccc1,1756.7,5.755302398703292
N#Cc1cccc(-c2ccc(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)cc2)c1,24.0,7.619788758288394
N#Cc1ccccc1-c1cccc(C(=O)NCCc2c[nH]c3ccc(Cl)cc23)c1,169.0,6.772113295386326
CCn1cc(CNCc2c[nH]nc2-c2ccc(-c3ccccc3)cc2)cn1,250.0,6.6020599913279625
N#Cc1ccc(-c2ccccc2C(=O)NCCc2c[nH]c3ccc(Cl)cc23)cc1,325.0,6.488116639021126
COc1cccc(C(c2ccc(F)cc2)N2CCN(c3cnccn3)CC2)c1O,2210.0,5.655607726314889
Cc1ccc(C(c2ccccc2O)N2CCN(c3cnccn3)CC2)cc1,2710.0,5.567030709125595
